id,name,file,offset
269,com.facebook.buck.features.project.intellij.IjProjectCommandHelper,src/com/facebook/buck/features/project/intellij/IjProjectCommandHelper.java,4082
270,com.facebook.buck.distributed.thrift.FetchBuildSlaveFinishedStatsResponse,src-gen/com/facebook/buck/distributed/thrift/FetchBuildSlaveFinishedStatsResponse.java,186
271,com.facebook.buck.distributed.thrift.BuildJobStateFileHashEntry,src-gen/com/facebook/buck/distributed/thrift/BuildJobStateFileHashEntry.java,186
272,com.facebook.buck.distributed.thrift.BuildJobStateTargetNode,src-gen/com/facebook/buck/distributed/thrift/BuildJobStateTargetNode.java,186
273,com.facebook.buck.artifact_cache.thrift.RuleKey,src-gen/com/facebook/buck/artifact_cache/thrift/RuleKey.java,189
274,com.android.dx.util.IntList,third-party/java/dx/src/com/android/dx/util/IntList.java,677
275,com.facebook.buck.features.project.intellij.model.folders.IjFolder,src/com/facebook/buck/features/project/intellij/model/folders/IjFolder.java,833
276,com.facebook.buck.cli.TestCommand,src/com/facebook/buck/cli/TestCommand.java,5321
277,com.facebook.buck.distributed.thrift.FetchRuleKeyLogsRequest,src-gen/com/facebook/buck/distributed/thrift/FetchRuleKeyLogsRequest.java,186
278,com.facebook.buck.distributed.thrift.Digest,src-gen/com/facebook/buck/distributed/thrift/Digest.java,186
279,com.facebook.buck.distributed.thrift.StampedeId,src-gen/com/facebook/buck/distributed/thrift/StampedeId.java,186
280,com.facebook.buck.artifact_cache.thrift.ManifestDeleteRequest,src-gen/com/facebook/buck/artifact_cache/thrift/ManifestDeleteRequest.java,189
281,com.facebook.buck.distributed.thrift.BuckVersion,src-gen/com/facebook/buck/distributed/thrift/BuckVersion.java,186
282,com.facebook.buck.features.apple.project.ProjectGenerator,src/com/facebook/buck/features/apple/project/ProjectGenerator.java,10739
283,com.android.dex.Dex,third-party/java/dx/src/com/android/dex/Dex.java,1502
284,com.facebook.buck.cli.TargetsCommand,src/com/facebook/buck/cli/TargetsCommand.java,5689
285,com.facebook.buck.artifact_cache.thrift.ManifestFetchRequest,src-gen/com/facebook/buck/artifact_cache/thrift/ManifestFetchRequest.java,189
286,com.android.dx.rop.cst.StdConstantPool,third-party/java/dx/src/com/android/dx/rop/cst/StdConstantPool.java,783
287,com.facebook.buck.artifact_cache.thrift.BuckCacheRequestType,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheRequestType.java,190
288,com.facebook.buck.distributed.thrift.BuildJobStateTargetGraph,src-gen/com/facebook/buck/distributed/thrift/BuildJobStateTargetGraph.java,186
289,com.facebook.buck.event.listener.DistBuildSlaveStateRenderer,src/com/facebook/buck/event/listener/DistBuildSlaveStateRenderer.java,1060
290,com.facebook.buck.cli.DoctorCommand,src/com/facebook/buck/cli/DoctorCommand.java,1737
291,com.facebook.buck.artifact_cache.config.ArtifactCacheBuckConfig,src/com/facebook/buck/artifact_cache/config/ArtifactCacheBuckConfig.java,1508
292,com.android.dx.dex.code.CodeAddress,third-party/java/dx/src/com/android/dx/dex/code/CodeAddress.java,752
293,com.facebook.buck.jvm.java.JavacToJarStepFactory,src/com/facebook/buck/jvm/java/JavacToJarStepFactory.java,1639
294,com.facebook.buck.distributed.thrift.ObtainAllAvailableCapacityRequest,src-gen/com/facebook/buck/distributed/thrift/ObtainAllAvailableCapacityRequest.java,186
